時間,設備,值
24-10-19 11:30:25,SA-12/LED_LEVEL,8
24-10-19 11:30:26,SA-12/LED_LEVEL,7
24-10-19 11:30:28,SA-12/LED_LEVEL,8
24-10-19 11:30:35,SA-12/LED_LEVEL,7
24-10-19 11:30:36,SA-12/LED_LEVEL,8
24-10-19 11:30:59,SA-12/LED_LEVEL,7
24-10-19 11:31:00,SA-12/LED_LEVEL,8
24-10-19 11:31:01,SA-12/LED_LEVEL,7
24-10-19 11:31:02,SA-12/LED_LEVEL,8
24-10-19 11:31:07,SA-12/LED_LEVEL,7
24-10-19 11:31:08,SA-12/LED_LEVEL,8
24-10-19 11:32:05,SA-12/LED_LEVEL,7
24-10-19 11:32:06,SA-12/LED_LEVEL,8
24-10-19 11:32:08,SA-12/LED_LEVEL,7
24-10-19 11:32:12,SA-12/LED_LEVEL,8
24-10-19 11:32:14,SA-12/LED_LEVEL,7
24-10-19 11:32:15,SA-12/LED_LEVEL,8
24-10-19 11:32:25,SA-12/LED_LEVEL,7
24-10-19 11:32:26,SA-12/LED_LEVEL,8
24-10-19 11:32:41,SA-12/LED_LEVEL,7
24-10-19 11:32:43,SA-12/LED_LEVEL,8
24-10-19 11:32:48,SA-12/LED_LEVEL,7
24-10-19 11:32:50,SA-12/LED_LEVEL,8
24-10-19 11:32:51,SA-12/LED_LEVEL,7
24-10-19 11:32:52,SA-12/LED_LEVEL,8
24-10-19 11:32:56,SA-12/LED_LEVEL,7
24-10-19 11:32:59,SA-12/LED_LEVEL,8
24-10-19 11:33:09,SA-12/LED_LEVEL,7
24-10-19 11:33:10,SA-12/LED_LEVEL,8
24-10-19 11:33:18,SA-12/LED_LEVEL,7
24-10-19 11:33:19,SA-12/LED_LEVEL,8
24-10-19 11:33:21,SA-12/LED_LEVEL,7
24-10-19 11:33:22,SA-12/LED_LEVEL,8
24-10-19 11:33:24,SA-12/LED_LEVEL,7
24-10-19 11:33:25,SA-12/LED_LEVEL,8
24-10-19 11:33:33,SA-12/LED_LEVEL,7
24-10-19 11:33:34,SA-12/LED_LEVEL,8
24-10-19 11:33:36,SA-12/LED_LEVEL,7
24-10-19 11:33:38,SA-12/LED_LEVEL,8
24-10-19 11:33:39,SA-12/LED_LEVEL,7
24-10-19 11:33:41,SA-12/LED_LEVEL,8
24-10-19 11:34:12,SA-12/LED_LEVEL,7
24-10-19 11:34:14,SA-12/LED_LEVEL,8
24-10-19 11:34:22,SA-12/LED_LEVEL,7
24-10-19 11:34:23,SA-12/LED_LEVEL,8
24-10-19 11:34:30,SA-12/LED_LEVEL,7
24-10-19 11:34:31,SA-12/LED_LEVEL,8
24-10-19 11:34:34,SA-12/LED_LEVEL,7
24-10-19 11:34:35,SA-12/LED_LEVEL,8
24-10-19 11:34:58,SA-12/LED_LEVEL,7
24-10-19 11:34:59,SA-12/LED_LEVEL,8
24-10-19 11:35:21,SA-12/LED_LEVEL,7
24-10-19 11:35:23,SA-12/LED_LEVEL,8
24-10-19 11:35:32,SA-12/LED_LEVEL,7
24-10-19 11:35:33,SA-12/LED_LEVEL,8
24-10-19 11:35:34,SA-12/LED_LEVEL,7
24-10-19 11:35:36,SA-12/LED_LEVEL,8
24-10-19 11:36:09,SA-12/LED_LEVEL,7
24-10-19 11:36:10,SA-12/LED_LEVEL,8
24-10-19 11:36:12,SA-12/LED_LEVEL,7
24-10-19 11:36:13,SA-12/LED_LEVEL,8
24-10-19 11:36:14,SA-12/LED_LEVEL,7
24-10-19 11:36:15,SA-12/LED_LEVEL,8
24-10-19 11:36:17,SA-12/LED_LEVEL,7
24-10-19 11:36:18,SA-12/LED_LEVEL,8
24-10-19 11:36:24,SA-12/LED_LEVEL,7
24-10-19 11:36:26,SA-12/LED_LEVEL,8
24-10-19 11:36:27,SA-12/LED_LEVEL,7
24-10-19 11:36:28,SA-12/LED_LEVEL,8
24-10-19 11:36:29,SA-12/LED_LEVEL,7
24-10-19 11:36:30,SA-12/LED_LEVEL,8
24-10-19 11:36:41,SA-12/LED_LEVEL,7
24-10-19 11:36:43,SA-12/LED_LEVEL,8
24-10-19 11:36:50,SA-12/LED_LEVEL,7
24-10-19 11:36:51,SA-12/LED_LEVEL,8
24-10-19 11:36:57,SA-12/LED_LEVEL,9
24-10-19 11:36:58,SA-12/LED_LEVEL,8
24-10-19 11:37:04,SA-12/LED_LEVEL,7
24-10-19 11:37:27,SA-12/LED_LEVEL,8
24-10-19 11:37:35,SA-12/LED_LEVEL,7
24-10-19 11:37:36,SA-12/LED_LEVEL,8
24-10-19 11:38:21,SA-12/LED_LEVEL,9
24-10-19 11:38:22,SA-12/LED_LEVEL,8
24-10-19 11:38:40,SA-12/LED_LEVEL,7
24-10-19 11:38:41,SA-12/LED_LEVEL,8
24-10-19 11:41:43,SA-12/LED_LEVEL,7
24-10-19 11:41:44,SA-12/LED_LEVEL,8
24-10-19 11:48:09,SA-12/LED_LEVEL,7
24-10-19 11:48:10,SA-12/LED_LEVEL,8
24-10-19 11:49:28,SA-12/LED_LEVEL,7
24-10-19 11:49:29,SA-12/LED_LEVEL,8
24-10-19 11:49:47,SA-12/LED_LEVEL,7
24-10-19 11:49:48,SA-12/LED_LEVEL,8
24-10-19 11:50:05,SA-12/LED_LEVEL,7
24-10-19 11:50:07,SA-12/LED_LEVEL,8
24-10-19 11:50:21,SA-12/LED_LEVEL,7
24-10-19 11:50:22,SA-12/LED_LEVEL,8
24-10-19 11:51:15,SA-12/LED_LEVEL,7
24-10-19 11:51:16,SA-12/LED_LEVEL,8
24-10-19 11:51:23,SA-12/LED_LEVEL,7
24-10-19 11:51:24,SA-12/LED_LEVEL,8
24-10-19 11:51:48,SA-12/LED_LEVEL,7
24-10-19 11:52:01,SA-12/LED_LEVEL,8
24-10-19 11:52:04,SA-12/LED_LEVEL,7
24-10-19 11:52:05,SA-12/LED_LEVEL,8
24-10-19 11:54:16,SA-12/LED_LEVEL,7
24-10-19 11:54:51,SA-12/LED_LEVEL,8
24-10-19 11:54:52,SA-12/LED_LEVEL,7
24-10-19 11:54:53,SA-12/LED_LEVEL,8
24-10-19 11:54:54,SA-12/LED_LEVEL,7
24-10-19 11:54:55,SA-12/LED_LEVEL,8
24-10-19 11:54:56,SA-12/LED_LEVEL,7
24-10-19 11:54:59,SA-12/LED_LEVEL,8
24-10-19 11:55:00,SA-12/LED_LEVEL,7
24-10-19 11:55:03,SA-12/LED_LEVEL,8
24-10-19 11:55:08,SA-12/LED_LEVEL,7
24-10-19 11:55:09,SA-12/LED_LEVEL,8
24-10-19 11:55:21,SA-12/LED_LEVEL,7
24-10-19 11:55:22,SA-12/LED_LEVEL,8
24-10-19 11:55:26,SA-12/LED_LEVEL,7
24-10-19 11:55:27,SA-12/LED_LEVEL,8
24-10-19 11:55:45,SA-12/LED_LEVEL,7
24-10-19 11:55:47,SA-12/LED_LEVEL,2
24-10-19 11:56:06,SA-12/LED_LEVEL,1
24-10-19 11:56:07,SA-12/LED_LEVEL,2
