時間,設備,值
2024-10-26 15:30:55,SA-12/LED_LV,2
2024-10-26 15:30:56,SA-12/TEMPERATURE,28.45
2024-10-26 15:30:56,SA-12/LIGHT_SWITCH,1
2024-10-26 15:31:08,SA-12/TEMPERATURE,28.92
2024-10-26 15:31:10,SA-12/TEMPERATURE,28.45
2024-10-26 15:31:14,SA-12/TEMPERATURE,28.92
2024-10-26 15:31:16,SA-12/TEMPERATURE,28.45
2024-10-26 15:31:24,SA-12/TEMPERATURE,28.92
2024-10-26 15:31:28,SA-12/TEMPERATURE,28.45
2024-10-26 15:31:33,SA-12/LED_LV,16
2024-10-26 15:31:38,SA-12/TEMPERATURE,28.92
2024-10-26 15:31:42,SA-12/TEMPERATURE,28.45
2024-10-26 15:31:48,SA-12/TEMPERATURE,28.92
2024-10-26 15:31:50,SA-12/TEMPERATURE,28.45
2024-10-26 15:33:09,SA-12/LED_LV,16
2024-10-26 15:33:21,SA-12/LED_LV,16
2024-10-26 15:33:41,SA-12/LED_LV,16
2024-10-26 15:33:42,SA-12/TEMPERATURE,28.45
2024-10-26 15:33:42,SA-12/LIGHT_SWITCH,1
2024-10-26 15:33:54,SA-12/TEMPERATURE,28.45
2024-10-26 15:33:54,SA-12/LIGHT_SWITCH,1
2024-10-26 15:33:54,SA-12/LED_LV,16
2024-10-26 15:34:32,SA-12/LED_LV,17
2024-10-26 15:34:33,SA-12/LED_LV,16
2024-10-26 15:34:42,SA-12/TEMPERATURE,28.92
2024-10-26 15:35:06,SA-12/TEMPERATURE,28.45
2024-10-26 15:35:06,SA-12/LIGHT_SWITCH,1
2024-10-26 15:35:06,SA-12/LED_LV,16
2024-10-26 15:35:22,SA-12/TEMPERATURE,28.92
2024-10-26 15:35:24,SA-12/TEMPERATURE,28.45
2024-10-26 15:35:43,SA-12/LED_LV,17
2024-10-26 15:35:43,SA-12/LED_LV,16
2024-10-26 15:35:44,SA-12/TEMPERATURE,28.92
2024-10-26 15:35:46,SA-12/TEMPERATURE,28.45
2024-10-26 15:35:56,SA-12/TEMPERATURE,28.92
2024-10-26 15:35:58,SA-12/TEMPERATURE,28.45
2024-10-26 15:36:06,SA-12/TEMPERATURE,28.92
2024-10-26 15:36:08,SA-12/TEMPERATURE,28.45
2024-10-26 15:36:18,SA-12/TEMPERATURE,28.92
2024-10-26 15:36:20,SA-12/TEMPERATURE,28.45
2024-10-26 15:36:24,SA-12/TEMPERATURE,28.92
2024-10-26 15:36:26,SA-12/TEMPERATURE,28.45
2024-10-26 15:40:27,SA-12/LED_LV,16
2024-10-26 15:43:03,SA-12/LED_LV,16
2024-10-26 15:44:54,SA-12/TEMPERATURE,28.45
2024-10-26 15:45:07,SA-12/LED_LV,16
2024-10-26 15:47:45,SA-12/LED_LV,16
2024-10-26 15:47:55,SA-12/LED_LV,16
2024-10-26 15:50:01,SA-12/LED_LV,16
2024-10-26 15:53:00,SA-12/TEMPERATURE,28.92
2024-10-26 15:53:00,SA-12/LIGHT_SWITCH,1
2024-10-26 15:53:00,SA-12/LED_LV,16
2024-10-26 15:53:06,SA-12/TEMPERATURE,28.45
2024-10-26 15:53:08,SA-12/TEMPERATURE,28.92
2024-10-26 15:53:12,SA-12/TEMPERATURE,28.45
2024-10-26 15:53:16,SA-12/TEMPERATURE,28.92
2024-10-26 15:53:17,SA-12/LED_LV,2
2024-10-26 15:53:23,SA-12/LED_LV,15
2024-10-26 15:53:23,SA-12/LED_LV,18
2024-10-26 15:53:26,SA-12/TEMPERATURE,28.45
2024-10-26 15:53:28,SA-12/TEMPERATURE,28.92
2024-10-26 15:54:33,SA-12/LIGHT_SWITCH,1
2024-10-26 15:54:49,SA-12/LED_LV,18
2024-10-26 15:55:18,SA-12/TEMPERATURE,28.92
2024-10-26 15:55:40,SA-12/TEMPERATURE,28.92
2024-10-26 15:56:44,SA-12/TEMPERATURE,28.92
2024-10-26 15:57:13,SA-12/LED_LV,18
2024-10-26 15:57:14,SA-12/TEMPERATURE,28.92
2024-10-26 15:57:15,SA-12/LIGHT_SWITCH,1
2024-10-26 15:57:16,SA-12/TEMPERATURE,28.45
2024-10-26 15:57:18,SA-12/TEMPERATURE,28.92
